Start,Finish,Duration,Age,Dialogue/Interaction_unit,Number,CDS,Utterance_type,Participant,Language,Initiation,Response_yes,Transcription,TCH_Language,
3115.607075,3116.501043,0.893968,6,12,1,0,Voc,TCH,TCH,1,1,,,12.1.CH.Voc.Init
3116.605533,3117.487891,0.882358,6,12,2,1,Imit,S2,Rus,0,0,,,12.2.CDS.Imit.S2.Rus.RN
3121.551383,3122.213152,0.661769,6,13,1,0,Voc,TCH,TCH,1,1,,,13.1.CH.Voc.Init
3122.236372,3123.919819,1.683447,6,13,2,1,Excl,S2,Rus,0,0,,,13.2.CDS.Excl.S2.Rus.RNo
3282.442449,3284.648345,2.205896,6,14,1,1,Excl,S1,Rus,1,1,,,14.1.CDS.Excl.S1.Rus.Init
3284.636735,3286.598821,1.962086,6,14,2,0,Voc,TCH,TCH,0,0,,,14.2.CH.Voc.RN
3300.019955,3304.222766,4.202811,6,15,1,0,Voc,TCH,TCH,1,1,,,15.1.CH.Voc.Init
3306.068753,3307.26458,1.195827,6,15,2,1,Imper,S2,Rus,0,1,,,15.2.CDS.Imper.S2.Rus.RYes
3308.646168,3309.725896,1.079728,6,15,3,0,Voc,TCH,TCH,0,1,,,15.3.CH.Voc.RY
3325.225215,3326.920272,1.695057,6,16,1,0,Voc,TCH,TCH,1,1,,,16.1.CH.Voc.Init
3327.489161,3328.998458,1.509297,6,16,2,1,Excl,S2,Rus,0,1,,,16.2.CDS.Excl.S2.Rus.RY
3329.811156,3330.577415,0.766259,6,16,3,0,Voc,TCH,TCH,0,1,,,16.3.CH.Voc.RY
3331.436553,3332.075102,0.638549,6,16,4,1,Att,S2,Rus,0,0,,,16.4.CDS.Att.S2.Rus.RN
3424.583401,3425.616689,1.033288,6,17,1,1,Excl,S2,Rus,1,1,,,17.1.CDS.Excl.S2.Rus.Init
3426.139138,3426.858957,0.719819,6,17,2,0,Voc,TCH,TCH,0,1,,,17.2.CH.Voc.RY
3426.591927,3427.520726,0.928799,6,17,3,1,Imit,S2,Rus,0,0,,,17.3.CDS.Imit.S2.Rus.RN
3503.972426,3505.946122,1.973696,6,18,1,0,Voc,TCH,TCH,1,1,,,17.1.CH.Voc.Init
3510.288254,3510.950023,0.661769,6,18,2,1,Att,S2,Rus,0,1,,,17.4.CDS.Att.S2.Rus.RY
3516.220952,3517.823129,1.602177,6,18,3,0,Voc,TCH,TCH,0,0,,,"17.5.CH.Voc.""Mammm"".RN"
3520.121905,3522.292971,2.171066,6,19,1,1,Interr,S2,Rus,1,1,,,18.1.CDS.Interr.S2.Rus.Init
3604.828299,3606.000907,1.172608,6,19,2,0,Voc,TCH,TCH,0,1,,,"18.2.CH.Voc.""Nai"".RY"
3608.938231,3609.82059,0.882359,6,19,3,1,Interr,S2,Rus,0,0,,,18.3.CDS.Interr.S2.Rus.RN
3611.120907,3612.270295,1.149388,6,20,1,1,Decl,S2,Rus,1,1,,,19.1.CDS.Decl.S2.Rus.Init
3641.364898,3642.827755,1.462857,6,20,2,0,Voc,TCH,TCH,0,1,,,19.2.CH.Voc.RY
3642.850975,3643.942313,1.091338,6,20,3,1,Interr,S2,Rus,0,1,,,19.3.CDS.Interr.S2.Rus.RY
3650.45551,3651.662948,1.207438,6,20,4,0,Voc,TCH,TCH,0,0,,,19.4.CH.Voc.RN
3653.032925,3654.414512,1.381587,6,21,1,0,Voc,TCH,TCH,1,1,,,"20.1.CH.Voc.""Nananana"".Init"
